# x,p
8.192.,8.192.
4.487.,2.005.
-3.426.,2.005.
7.723.,2.005.
3.389.,2.005.
-7.061.,2.005.
-7.255.,2.005.
3.383.,2.005.
9.106.,2.005.
-5.675.,2.005.
2.672.,2.005.
4.048.,2.005.
-7.526.,2.005.
1.158.,2.005.
-8.176.,2.005.
1.058.,2.005.
6.054.,2.005.
4.236.,2.005.
-1.555.,2.005.
0.465.,2.005.
-2.383.,2.005.
-1.804.,2.005.
8.933.,2.005.
-9.209.,2.005.
9.627.,2.005.
1.495.,2.005.
9.707.,2.005.
-7.911.,2.005.
7.991.,2.005.
-9.842.,2.005.
9.592.,2.005.
9.753.,2.005.
-8.667.,2.005.
-6.261.,2.005.
-2.081.,2.005.
-1.726.,2.005.
2.489.,2.005.
-2.220.,2.005.
6.264.,2.005.
-1.602.,2.005.
2.205.,2.005.
-6.121.,2.005.
-6.800.,2.005.
-9.403.,2.005.
-5.099.,2.005.
1.409.,2.005.
-4.457.,2.005.
2.075.,2.005.
9.639.,2.005.
2.261.,2.005.
-3.302.,2.005.
4.519.,2.005.
8.082.,2.005.
-6.239.,2.005.
-0.778.,2.005.
2.248.,2.005.
6.544.,2.005.
-2.862.,2.005.
2.030.,2.005.
5.507.,2.005.
0.608.,2.005.
-0.875.,2.005.
-5.641.,2.005.
7.406.,2.005.
-6.257.,2.005.
9.873.,2.005.
-5.650.,2.005.
-8.138.,2.005.
3.387.,2.005.
1.889.,2.005.
-5.235.,2.005.
8.258.,2.005.
6.512.,2.005.
7.781.,2.005.
-3.713.,2.005.
9.123.,2.005.
6.193.,2.005.
8.754.,2.005.
0.739.,2.005.
7.215.,2.005.
7.172.,2.005.
-1.519.,2.005.
-5.606.,2.005.
6.682.,2.005.
-3.191.,2.005.
-9.775.,2.005.
-0.634.,2.005.
-6.124.,2.005.
6.227.,2.005.
-1.466.,2.005.
8.446.,2.005.
1.285.,2.005.
6.853.,2.005.
-4.295.,2.005.
1.914.,2.005.
0.455.,2.005.
5.888.,2.005.
-0.499.,2.005.
3.118.,2.005.
0.631.,2.005.
6.409.,2.005.
2.792.,2.005.
9.023.,2.005.
8.339.,2.005.
-4.155.,2.005.
1.198.,2.005.
3.934.,2.005.
0.952.,2.005.
5.143.,2.005.
0.971.,2.005.
-2.473.,2.005.
-7.014.,2.005.
-1.627.,2.005.
4.831.,2.005.
-1.306.,2.005.
-3.512.,2.005.
-8.594.,2.005.
5.740.,2.005.
5.955.,2.005.
5.422.,2.005.
-1.866.,2.005.
0.057.,2.005.
2.250.,2.005.
-5.310.,2.005.
-4.728.,2.005.
-3.492.,2.005.
-8.086.,2.005.
-0.659.,2.005.
-2.941.,2.005.
-4.405.,2.005.
-8.133.,2.005.
2.602.,2.005.
5.946.,2.005.
-9.674.,2.005.
-3.572.,2.005.
4.756.,2.005.
-1.324.,2.005.
-3.530.,2.005.
1.813.,2.005.
4.767.,2.005.
8.108.,2.005.
0.895.,2.005.
5.249.,2.005.
-9.523.,2.005.
-6.557.,2.005.
-7.554.,2.005.
3.818.,2.005.
-2.281.,2.005.
7.572.,2.005.
-4.940.,2.005.
-6.128.,2.005.
-6.115.,2.005.
3.785.,2.005.
-1.089.,2.005.
7.161.,2.005.
3.336.,2.005.
1.115.,2.005.
7.054.,2.005.
-1.514.,2.005.
