# x,p
0.965.,0.965.
-7.664.,0.994.
-3.176.,0.994.
6.852.,0.994.
2.675.,0.994.
7.384.,0.994.
8.809.,0.994.
9.317.,0.994.
4.652.,0.994.
4.532.,0.994.
-9.352.,0.994.
-8.827.,0.994.
5.537.,0.994.
-1.327.,0.994.
-7.490.,0.994.
9.307.,0.994.
6.866.,0.994.
-9.205.,0.994.
8.961.,0.994.
-3.896.,0.994.
9.715.,0.994.
-8.564.,0.994.
-8.035.,0.994.
-2.809.,0.994.
-8.759.,0.994.
8.544.,0.994.
-5.672.,0.994.
-6.286.,0.994.
-9.666.,0.994.
8.909.,0.994.
-9.630.,0.994.
4.929.,0.994.
-4.960.,0.994.
-0.905.,0.994.
5.799.,0.994.
-3.108.,0.994.
-0.117.,0.994.
0.805.,0.994.
5.546.,0.994.
8.102.,0.994.
-8.720.,0.994.
7.814.,0.994.
5.832.,0.994.
7.409.,0.994.
4.471.,0.994.
2.654.,0.994.
5.942.,0.994.
2.993.,0.994.
-3.932.,0.994.
-1.901.,0.994.
0.661.,0.994.
-6.121.,0.994.
-5.922.,0.994.
7.354.,0.994.
1.489.,0.994.
1.683.,0.994.
-3.852.,0.994.
-2.188.,0.994.
-1.244.,0.994.
4.240.,0.994.
-0.784.,0.994.
-9.391.,0.994.
-8.215.,0.994.
-3.474.,0.994.
3.361.,0.994.
-2.983.,0.994.
6.998.,0.994.
-1.653.,0.994.
2.157.,0.994.
2.674.,0.994.
-0.543.,0.994.
4.681.,0.994.
-7.712.,0.994.
1.743.,0.994.
8.245.,0.994.
2.688.,0.994.
-2.501.,0.994.
-5.051.,0.994.
-4.017.,0.994.
-8.414.,0.994.
-5.495.,0.994.
5.615.,0.994.
-5.189.,0.994.
5.462.,0.994.
-9.597.,0.994.
-7.725.,0.994.
2.989.,0.994.
-4.658.,0.994.
2.390.,0.994.
6.140.,0.994.
5.808.,0.994.
-4.745.,0.994.
4.554.,0.994.
4.557.,0.994.
8.819.,0.994.
-6.900.,0.994.
9.593.,0.994.
-9.200.,0.994.
9.922.,0.994.
-6.169.,0.994.
-8.704.,0.994.
-1.154.,0.994.
-0.898.,0.994.
3.388.,0.994.
-6.722.,0.994.
3.407.,0.994.
2.357.,0.994.
-6.390.,0.994.
-5.912.,0.994.
-5.899.,0.994.
8.516.,0.994.
-0.984.,0.994.
-7.802.,0.994.
3.606.,0.994.
-0.654.,0.994.
-3.634.,0.994.
4.735.,0.994.
0.076.,0.994.
-3.025.,0.994.
8.085.,0.994.
4.422.,0.994.
-8.928.,0.994.
-0.441.,0.994.
1.064.,0.994.
2.692.,0.994.
-7.905.,0.994.
1.109.,0.994.
-5.269.,0.994.
3.843.,0.994.
3.718.,0.994.
-3.336.,0.994.
-7.502.,0.994.
9.515.,0.994.
3.641.,0.994.
-2.014.,0.994.
-2.889.,0.994.
1.274.,0.994.
-1.464.,0.994.
0.056.,0.994.
-5.517.,0.994.
5.335.,0.994.
1.942.,0.994.
-9.367.,0.994.
-8.072.,0.994.
-1.121.,0.994.
0.011.,0.994.
0.644.,0.994.
-9.696.,0.994.
3.483.,0.994.
-3.256.,0.994.
-6.472.,0.994.
2.027.,0.994.
0.828.,0.994.
-2.534.,0.994.
-1.947.,0.994.
0.344.,0.994.
5.829.,0.994.
6.805.,0.994.
2.080.,0.994.
2.895.,0.994.
-1.945.,0.994.
2.804.,0.994.
9.718.,0.994.
-1.997.,0.994.
8.779.,0.994.
5.894.,0.994.
-5.786.,0.994.
3.020.,0.994.
0.828.,0.994.
2.931.,0.994.
-9.862.,0.994.
0.118.,0.994.
-0.646.,0.994.
1.693.,0.994.
-9.846.,0.994.
-5.233.,0.994.
-1.680.,0.994.
-6.085.,0.994.
1.827.,0.994.
-9.340.,0.994.
2.983.,0.994.
1.476.,0.994.
9.083.,0.994.
0.538.,0.994.
6.639.,0.994.
3.022.,0.994.
-2.225.,0.994.
1.887.,0.994.
1.261.,0.994.
-7.297.,0.994.
9.643.,0.994.
-9.655.,0.994.
5.183.,0.994.
-8.100.,0.994.
-5.206.,0.994.
-2.834.,0.994.
5.409.,0.994.
-7.406.,0.994.
-0.869.,0.994.
4.833.,0.994.
-6.305.,0.994.
8.757.,0.994.
-6.244.,0.994.
-1.017.,0.994.
1.238.,0.994.
3.408.,0.994.
-6.226.,0.994.
2.041.,0.994.
-4.607.,0.994.
-0.413.,0.994.
1.273.,0.994.
5.624.,0.994.
-1.782.,0.994.
-8.110.,0.994.
-6.887.,0.994.
9.982.,0.998.
4.076.,0.998.
7.350.,0.998.
2.860.,0.998.
5.025.,0.998.
-7.032.,0.998.
3.500.,0.998.
-7.370.,0.998.
8.702.,0.998.
3.008.,0.998.
9.821.,0.998.
7.652.,0.998.
-2.767.,0.998.
0.703.,0.998.
-4.411.,0.998.
6.533.,0.998.
7.050.,0.998.
5.556.,0.998.
3.076.,0.998.
0.393.,0.998.
1.775.,0.998.
8.756.,0.998.
0.779.,0.998.
-3.516.,0.998.
-8.106.,0.998.
-6.102.,0.998.
-6.315.,0.998.
3.771.,0.998.
-2.667.,0.998.
-2.705.,0.998.
-4.049.,0.998.
-8.274.,0.998.
2.008.,0.998.
-0.976.,0.998.
-5.397.,0.998.
5.710.,0.998.
-0.386.,0.998.
-1.122.,0.998.
5.806.,0.998.
0.697.,0.998.
-0.915.,0.998.
4.193.,0.998.
-1.922.,0.998.
-1.837.,0.998.
1.925.,0.998.
-8.836.,0.998.
5.624.,0.998.
1.760.,0.998.
0.881.,0.998.
7.495.,0.998.
7.160.,0.998.
0.948.,0.998.
7.019.,0.998.
-9.109.,0.998.
8.637.,0.998.
2.246.,0.998.
-5.190.,0.998.
-1.827.,0.998.
1.492.,0.998.
-4.084.,0.998.
-6.729.,0.998.
9.224.,0.998.
8.561.,0.998.
-5.607.,0.998.
-4.826.,0.998.
6.238.,0.998.
5.786.,0.998.
-7.252.,0.998.
4.900.,0.998.
-9.261.,0.998.
-1.993.,0.998.
-2.902.,0.998.
0.660.,0.998.
-9.752.,0.998.
-2.274.,0.998.
-6.104.,0.998.
-0.830.,0.998.
1.575.,0.998.
5.717.,0.998.
-2.654.,0.998.
-7.179.,0.998.
-2.251.,0.998.
-7.225.,0.998.
1.607.,0.998.
5.037.,0.998.
8.380.,0.998.
-1.370.,0.998.
9.287.,0.998.
-2.719.,0.998.
-9.713.,0.998.
-8.211.,0.998.
-5.303.,0.998.
-8.750.,0.998.
9.820.,0.998.
-5.137.,0.998.
-9.974.,0.998.
-5.364.,0.998.
2.265.,0.998.
-0.366.,0.998.
9.311.,0.998.
6.749.,0.998.
-5.514.,0.998.
6.068.,0.998.
8.380.,0.998.
-1.756.,0.998.
-8.148.,0.998.
4.943.,0.998.
-1.757.,0.998.
-7.337.,0.998.
-3.146.,0.998.
-7.446.,0.998.
