# x,p
8.170.,8.170.
7.522.,5.503.
-2.635.,5.503.
3.791.,5.503.
6.345.,5.503.
-8.840.,5.503.
7.584.,5.503.
5.245.,5.503.
1.796.,5.503.
0.461.,5.503.
-9.933.,5.503.
-5.424.,5.503.
-0.713.,5.503.
5.376.,5.503.
-0.461.,5.503.
-6.575.,5.503.
5.713.,5.503.
9.215.,5.503.
3.812.,5.503.
-0.085.,5.503.
-5.571.,5.503.
0.947.,5.503.
5.479.,5.503.
4.780.,5.503.
-6.993.,5.503.
2.199.,5.503.
3.751.,5.503.
-2.966.,5.503.
8.569.,5.503.
4.215.,5.503.
-3.159.,5.503.
-3.119.,5.503.
-8.725.,5.503.
7.843.,5.503.
-7.316.,5.503.
-2.364.,5.503.
1.057.,5.503.
1.729.,5.503.
2.474.,5.503.
9.752.,5.503.
4.490.,5.503.
-2.155.,5.503.
-1.607.,5.503.
-8.804.,5.503.
4.776.,5.503.
-7.823.,5.503.
-4.862.,5.503.
-5.703.,5.503.
1.013.,5.503.
0.718.,5.503.
-6.204.,5.503.
-3.826.,5.503.
-1.824.,5.503.
1.411.,5.503.
1.655.,5.503.
8.692.,5.503.
7.594.,5.503.
6.836.,5.503.
-0.029.,5.503.
-6.114.,5.503.
-3.996.,5.503.
4.542.,5.503.
6.728.,5.503.
-9.048.,5.503.
-9.711.,5.503.
5.583.,5.503.
-5.268.,5.503.
3.926.,5.503.
-0.562.,5.503.
6.270.,5.503.
-3.369.,5.503.
0.220.,5.503.
6.427.,5.503.
2.555.,5.503.
-9.761.,5.503.
6.908.,5.503.
8.006.,5.503.
-4.902.,5.503.
-9.359.,5.503.
-0.540.,5.503.
3.167.,5.503.
8.422.,5.503.
7.268.,5.503.
6.194.,5.503.
2.162.,5.503.
-7.826.,5.503.
-3.336.,5.503.
-0.280.,5.503.
-6.329.,5.503.
3.124.,5.503.
1.480.,5.503.
-0.127.,5.503.
9.278.,5.503.
2.428.,5.503.
-4.400.,5.503.
7.876.,5.503.
-3.858.,5.503.
4.551.,5.503.
0.496.,5.503.
-1.292.,5.503.
-5.786.,5.503.
0.320.,5.503.
7.390.,5.503.
5.862.,5.503.
1.658.,5.503.
-2.004.,5.503.
-4.665.,5.503.
9.880.,5.503.
8.517.,5.503.
0.517.,5.503.
3.546.,5.503.
-6.319.,5.503.
6.284.,5.503.
5.807.,5.503.
6.630.,5.503.
7.107.,5.503.
6.591.,5.503.
-2.089.,5.503.
3.565.,5.503.
-2.537.,5.503.
2.359.,5.503.
-8.821.,5.503.
2.178.,5.503.
-9.106.,5.503.
6.751.,5.503.
-2.101.,5.503.
6.717.,5.503.
-5.463.,5.503.
-4.387.,5.503.
6.230.,5.503.
3.914.,5.503.
4.936.,5.503.
-3.585.,5.503.
1.647.,5.503.
0.522.,5.503.
-3.445.,5.503.
-2.849.,5.503.
-2.679.,5.503.
6.655.,5.503.
-4.312.,5.503.
-0.602.,5.503.
4.707.,5.503.
-6.459.,5.503.
4.802.,5.503.
-5.840.,5.503.
-3.584.,5.503.
0.039.,5.503.
1.555.,5.503.
-1.220.,5.503.
-9.265.,5.503.
6.371.,5.503.
-4.119.,5.503.
7.618.,5.503.
-9.374.,5.503.
-1.330.,5.503.
-2.222.,5.503.
9.299.,5.503.
4.663.,5.503.
-4.258.,5.503.
-9.819.,5.503.
2.070.,5.503.
2.654.,5.503.
-8.194.,5.503.
-3.252.,5.503.
-6.075.,5.503.
2.078.,5.503.
-0.988.,5.503.
7.319.,5.503.
-5.085.,5.503.
-0.389.,5.503.
-1.111.,5.503.
8.447.,5.503.
-7.000.,5.503.
3.914.,5.503.
6.571.,5.503.
6.531.,5.503.
6.639.,5.503.
2.994.,5.503.
-6.907.,5.503.
8.710.,5.503.
0.537.,5.503.
-4.643.,5.503.
5.997.,5.503.
9.460.,5.503.
4.010.,5.503.
-0.569.,5.503.
-6.757.,5.503.
-6.401.,5.503.
-8.970.,5.503.
-3.440.,5.503.
8.461.,5.503.
1.772.,5.503.
2.317.,5.503.
-8.488.,5.503.
-9.142.,5.503.
9.070.,5.503.
-9.513.,5.503.
3.097.,5.503.
5.384.,5.503.
5.743.,5.503.
-1.262.,5.503.
8.573.,5.503.
-7.554.,5.503.
-5.745.,5.503.
-8.960.,5.503.
0.581.,5.503.
-0.330.,5.503.
-8.193.,5.503.
5.687.,5.503.
1.758.,5.503.
7.944.,5.503.
-9.055.,5.503.
3.403.,5.503.
8.972.,5.503.
-1.970.,5.503.
6.755.,5.503.
-1.479.,5.503.
1.137.,5.503.
1.954.,5.503.
-0.335.,5.503.
8.894.,5.503.
4.595.,5.503.
-3.313.,5.503.
1.170.,5.503.
-9.239.,5.503.
2.596.,5.503.
6.357.,5.503.
2.787.,5.503.
-4.846.,5.503.
-6.280.,5.503.
-8.573.,5.503.
3.198.,5.503.
-2.500.,5.503.
9.870.,5.503.
-3.833.,5.503.
5.400.,5.503.
-9.422.,5.503.
-3.130.,5.503.
-3.700.,5.503.
-2.910.,5.503.
5.264.,5.503.
3.905.,5.503.
-8.574.,5.503.
-2.057.,5.503.
8.476.,5.503.
-1.504.,5.503.
7.191.,5.503.
-4.467.,5.503.
-6.268.,5.503.
-1.677.,5.503.
-4.410.,5.503.
-5.017.,5.503.
-8.892.,5.503.
1.101.,5.503.
-3.366.,5.503.
-1.555.,5.503.
-6.893.,5.503.
4.399.,5.503.
-6.397.,5.503.
-2.441.,5.503.
1.472.,5.503.
-0.036.,5.503.
-8.541.,5.503.
1.937.,5.503.
-9.041.,5.503.
1.923.,5.503.
5.864.,5.503.
8.293.,5.503.
5.894.,5.503.
7.073.,5.503.
-7.993.,5.503.
1.584.,5.503.
1.553.,5.503.
3.226.,5.503.
4.944.,5.503.
-7.107.,5.503.
6.095.,5.503.
-7.142.,5.503.
6.810.,5.503.
3.758.,5.503.
4.896.,5.503.
6.113.,5.503.
-0.371.,5.503.
8.223.,5.503.
3.723.,5.503.
3.885.,5.503.
7.580.,5.503.
2.460.,5.503.
7.484.,5.503.
-6.337.,5.503.
-3.902.,5.503.
-9.694.,5.503.
-3.345.,5.503.
-4.712.,5.503.
-0.917.,5.503.
4.013.,5.503.
-3.214.,5.503.
-9.123.,5.503.
-2.426.,5.503.
-1.926.,5.503.
-1.513.,5.503.
1.657.,5.503.
-2.954.,5.503.
-8.861.,5.503.
7.981.,5.503.
-0.559.,5.503.
9.316.,5.503.
-4.978.,5.503.
-7.407.,5.503.
-0.431.,5.503.
-3.105.,5.503.
3.655.,5.503.
6.881.,5.503.
-4.269.,5.503.
-4.060.,5.503.
-6.438.,5.503.
-9.914.,5.503.
-7.238.,5.503.
5.310.,5.503.
1.654.,5.503.
-2.027.,5.503.
-4.180.,5.503.
-9.565.,5.503.
0.223.,5.503.
-0.783.,5.503.
-7.726.,5.503.
0.549.,5.503.
5.206.,5.503.
1.218.,5.503.
8.336.,5.503.
-1.856.,5.503.
4.457.,5.503.
-0.623.,5.503.
8.054.,5.503.
5.868.,5.503.
-5.138.,5.503.
8.529.,5.503.
-7.016.,5.503.
-2.562.,5.503.
0.819.,5.503.
-6.850.,5.503.
-8.145.,5.503.
5.104.,5.503.
0.563.,5.503.
2.733.,5.503.
-1.209.,5.503.
-8.607.,5.503.
-9.115.,5.503.
-6.543.,5.503.
-7.223.,5.503.
-7.013.,5.503.
-7.179.,5.503.
-4.831.,5.503.
9.668.,5.503.
6.513.,5.503.
-8.551.,5.503.
5.714.,5.503.
-4.836.,5.503.
-7.720.,5.503.
-7.734.,5.503.
1.471.,5.503.
-4.339.,5.503.
-9.312.,5.503.
3.504.,5.503.
-3.112.,5.503.
1.728.,5.503.
2.674.,5.503.
5.077.,5.503.
-8.906.,5.503.
3.484.,5.503.
6.489.,5.503.
-7.097.,5.503.
3.877.,5.503.
