# x,p
5.421.,5.421.
8.718.,3.008.
-3.493.,3.008.
-6.013.,3.008.
6.840.,3.008.
4.303.,3.008.
2.538.,3.008.
-7.869.,3.008.
5.605.,3.008.
4.794.,3.008.
6.438.,3.008.
-3.250.,3.008.
-2.653.,3.008.
9.581.,3.008.
6.533.,3.008.
0.208.,3.008.
4.259.,3.008.
9.849.,3.008.
8.697.,3.008.
-2.573.,3.008.
-3.146.,3.008.
7.235.,3.008.
-2.196.,3.008.
-7.882.,3.008.
9.342.,3.008.
-9.900.,3.008.
8.085.,3.008.
-9.495.,3.008.
-4.583.,3.008.
4.390.,3.008.
2.393.,3.008.
8.556.,3.008.
-4.875.,3.008.
-3.262.,3.008.
2.527.,3.008.
1.369.,3.008.
-9.224.,3.008.
8.511.,3.008.
-2.356.,3.008.
4.957.,3.008.
-8.032.,3.008.
2.661.,3.008.
-5.139.,3.008.
-0.958.,3.008.
6.363.,3.008.
8.296.,3.008.
-5.626.,3.008.
2.404.,3.008.
-0.107.,3.008.
-5.354.,3.008.
-8.138.,3.008.
-0.220.,3.008.
4.926.,3.008.
7.874.,3.008.
-5.773.,3.008.
-5.359.,3.008.
6.592.,3.008.
5.924.,3.008.
-0.268.,3.008.
-4.146.,3.008.
5.275.,3.008.
1.022.,3.008.
8.075.,3.008.
7.590.,3.008.
3.846.,3.008.
-9.686.,3.008.
-2.088.,3.008.
-4.495.,3.008.
3.867.,3.008.
2.073.,3.008.
7.403.,3.008.
1.334.,3.008.
-5.384.,3.008.
5.115.,3.008.
-3.363.,3.008.
9.574.,3.008.
9.661.,3.008.
-3.133.,3.008.
-8.835.,3.008.
0.446.,3.008.
4.823.,3.008.
9.095.,3.008.
9.233.,3.008.
3.361.,3.008.
-8.296.,3.008.
-4.928.,3.008.
2.777.,3.008.
2.259.,3.008.
-2.508.,3.008.
3.066.,3.008.
3.131.,3.008.
-4.577.,3.008.
-3.606.,3.008.
5.621.,3.008.
-5.665.,3.008.
-3.495.,3.008.
-4.155.,3.008.
-0.579.,3.008.
0.054.,3.008.
7.581.,3.008.
2.107.,3.008.
-2.148.,3.008.
-8.762.,3.008.
-0.837.,3.008.
-5.225.,3.008.
9.257.,3.008.
-8.304.,3.008.
3.576.,3.008.
4.879.,3.008.
4.258.,3.008.
4.927.,3.008.
-7.024.,3.008.
-1.284.,3.008.
-9.244.,3.008.
9.523.,3.008.
-8.113.,3.008.
8.541.,3.008.
-2.296.,3.008.
-4.709.,3.008.
3.623.,3.008.
-3.606.,3.008.
5.237.,3.008.
6.645.,3.008.
-1.879.,3.008.
-1.398.,3.008.
-0.349.,3.008.
0.163.,3.008.
-3.154.,3.008.
0.486.,3.008.
-0.123.,3.008.
-7.512.,3.008.
-4.108.,3.008.
1.497.,3.008.
-6.723.,3.008.
8.932.,3.008.
0.985.,3.008.
-5.534.,3.008.
0.390.,3.008.
2.135.,3.008.
-2.807.,3.008.
-5.464.,3.008.
6.170.,3.008.
1.243.,3.008.
-0.017.,3.008.
-3.528.,3.008.
5.964.,3.008.
-1.547.,3.008.
8.247.,3.008.
-7.782.,3.008.
8.068.,3.008.
-1.876.,3.008.
1.729.,3.008.
-6.290.,3.008.
-5.926.,3.008.
-7.273.,3.008.
8.458.,3.008.
-6.010.,3.008.
-3.151.,3.008.
-7.712.,3.008.
-5.226.,3.008.
1.497.,3.008.
4.082.,3.008.
-5.241.,3.008.
-4.687.,3.008.
2.741.,3.008.
2.395.,3.008.
8.979.,3.008.
3.388.,3.008.
-7.949.,3.008.
0.107.,3.008.
-0.950.,3.008.
8.288.,3.008.
3.023.,3.008.
-3.956.,3.008.
-0.553.,3.008.
3.956.,3.008.
-2.920.,3.008.
6.172.,3.008.
-5.649.,3.008.
-9.152.,3.008.
9.141.,3.008.
-5.874.,3.008.
9.269.,3.008.
-7.274.,3.008.
-4.472.,3.008.
-7.761.,3.008.
-9.692.,3.008.
-8.206.,3.008.
-3.352.,3.008.
-4.858.,3.008.
2.240.,3.008.
7.091.,3.008.
-5.194.,3.008.
-3.303.,3.008.
-9.794.,3.008.
-0.597.,3.008.
-3.314.,3.008.
-4.448.,3.008.
3.616.,3.008.
-7.448.,3.008.
8.824.,3.008.
3.049.,3.008.
4.351.,3.008.
3.181.,3.008.
-6.362.,3.008.
3.543.,3.008.
-1.946.,3.008.
6.682.,3.008.
-4.601.,3.008.
4.775.,3.008.
-7.233.,3.008.
-8.876.,3.008.
2.443.,3.008.
4.941.,3.008.
1.750.,3.008.
-2.426.,3.008.
-7.616.,3.008.
-8.191.,3.008.
4.510.,3.008.
8.610.,3.008.
-3.770.,3.008.
7.922.,3.008.
-1.946.,3.008.
0.785.,3.008.
-5.964.,3.008.
5.119.,3.008.
8.391.,3.008.
-4.068.,3.008.
-7.358.,3.008.
0.130.,3.008.
-9.563.,3.008.
3.458.,3.008.
-9.739.,3.008.
2.728.,3.008.
-4.549.,3.008.
0.114.,3.008.
3.121.,3.008.
-5.033.,3.008.
0.040.,3.008.
-1.851.,3.008.
-8.822.,3.008.
-0.981.,3.008.
-8.795.,3.008.
0.504.,3.008.
-4.745.,3.008.
1.284.,3.008.
2.573.,3.008.
-1.528.,3.008.
6.392.,3.008.
-6.704.,3.008.
3.740.,3.008.
6.070.,3.008.
-1.314.,3.008.
-9.498.,3.008.
-8.815.,3.008.
-9.119.,3.008.
2.255.,3.008.
-0.264.,3.008.
7.460.,3.008.
-5.326.,3.008.
-4.795.,3.008.
-5.625.,3.008.
9.757.,3.008.
-6.226.,3.008.
1.394.,3.008.
3.662.,3.008.
-5.337.,3.008.
-8.219.,3.008.
7.439.,3.008.
0.057.,3.008.
-0.659.,3.008.
-5.466.,3.008.
4.972.,3.008.
0.740.,3.008.
4.051.,3.008.
1.520.,3.008.
-8.550.,3.008.
-0.103.,3.008.
-5.138.,3.008.
-0.514.,3.008.
7.817.,3.008.
-6.870.,3.008.
-2.344.,3.008.
6.116.,3.008.
-1.430.,3.008.
-8.157.,3.008.
0.950.,3.008.
8.484.,3.008.
8.939.,3.008.
2.309.,3.008.
-5.873.,3.008.
9.834.,3.008.
8.605.,3.008.
5.659.,3.008.
-3.966.,3.008.
-1.107.,3.008.
7.784.,3.008.
2.897.,3.008.
-3.322.,3.008.
0.349.,3.008.
-3.267.,3.008.
7.344.,3.008.
8.389.,3.008.
-2.483.,3.008.
-9.361.,3.008.
-8.247.,3.008.
-3.016.,3.008.
0.214.,3.008.
-1.655.,3.008.
7.357.,3.008.
-4.420.,3.008.
-6.834.,3.008.
4.935.,3.008.
-3.218.,3.008.
-7.375.,3.008.
-0.538.,3.008.
0.383.,3.008.
7.799.,3.008.
-9.314.,3.008.
7.836.,3.008.
-1.983.,3.008.
-1.514.,3.008.
-9.119.,3.008.
2.911.,3.008.
-0.168.,3.008.
-3.227.,3.008.
0.511.,3.008.
5.510.,3.008.
1.966.,3.008.
1.367.,3.008.
7.434.,3.008.
-7.577.,3.008.
1.675.,3.008.
2.283.,3.008.
-5.410.,3.008.
-8.281.,3.008.
5.432.,3.008.
-4.270.,3.008.
-9.861.,3.008.
-5.228.,3.008.
-6.524.,3.008.
0.255.,3.008.
2.598.,3.008.
7.328.,3.008.
3.830.,3.008.
-3.247.,3.008.
-5.335.,3.008.
6.929.,3.008.
-3.370.,3.008.
-0.978.,3.008.
9.539.,3.008.
2.830.,3.008.
2.865.,3.008.
6.414.,3.008.
3.860.,3.008.
5.957.,3.008.
-5.221.,3.008.
3.839.,3.008.
-8.852.,3.008.
3.593.,3.008.
-4.969.,3.008.
4.589.,3.008.
-4.998.,3.008.
0.179.,3.008.
5.125.,3.008.
3.148.,3.008.
6.151.,3.008.
-8.573.,3.008.
3.859.,3.008.
3.756.,3.008.
-2.558.,3.008.
4.108.,3.008.
-9.135.,3.008.
5.540.,3.008.
-4.772.,3.008.
1.997.,3.008.
9.680.,3.008.
-5.793.,3.008.
-3.060.,3.008.
-6.681.,3.008.
9.474.,3.008.
-2.335.,3.008.
-9.194.,3.008.
