# x,p
9.531.,9.531.
9.434.,3.001.
-9.678.,3.001.
-5.330.,3.001.
-1.829.,3.001.
5.046.,3.001.
0.146.,3.001.
6.573.,3.001.
9.621.,3.001.
3.060.,3.001.
-1.586.,3.001.
5.617.,3.001.
2.216.,3.001.
9.172.,3.001.
1.409.,3.001.
-1.202.,3.001.
9.375.,3.001.
-6.176.,3.001.
7.488.,3.001.
-0.833.,3.001.
4.223.,3.001.
-4.193.,3.001.
3.262.,3.001.
-5.855.,3.001.
-9.719.,3.001.
-4.243.,3.001.
-8.524.,3.001.
8.827.,3.001.
-2.452.,3.001.
1.300.,3.001.
-3.376.,3.001.
1.901.,3.001.
-5.167.,3.001.
-4.501.,3.001.
8.742.,3.001.
0.672.,3.001.
-6.700.,3.001.
3.065.,3.001.
-9.076.,3.001.
-3.056.,3.001.
1.651.,3.001.
6.158.,3.001.
-6.648.,3.001.
-4.480.,3.001.
0.290.,3.001.
1.109.,3.001.
8.496.,3.001.
7.639.,3.001.
8.847.,3.001.
6.756.,3.001.
-0.048.,3.001.
4.592.,3.001.
-6.343.,3.001.
-2.671.,3.001.
-7.811.,3.001.
1.981.,3.001.
-2.336.,3.001.
-8.136.,3.001.
6.635.,3.001.
5.704.,3.001.
0.986.,3.001.
-7.889.,3.001.
3.854.,3.001.
2.587.,3.001.
7.009.,3.001.
5.664.,3.001.
9.856.,3.001.
-7.839.,3.001.
-7.156.,3.001.
3.548.,3.001.
6.324.,3.001.
-9.402.,3.001.
5.601.,3.001.
-6.952.,3.001.
9.520.,3.001.
-9.452.,3.001.
5.067.,3.001.
-4.266.,3.001.
-1.943.,3.001.
3.262.,3.001.
6.316.,3.001.
-2.137.,3.001.
9.434.,3.001.
3.924.,3.001.
-0.960.,3.001.
-7.788.,3.001.
-5.542.,3.001.
9.101.,3.001.
-0.827.,3.001.
0.506.,3.001.
4.253.,3.001.
0.028.,3.001.
